epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.7358095049858093;0.8642680644989014;0.758222222328186;0.7512851357460022
1;0.7401905059814453;0.8019779324531555;0.758222222328186;0.7653595209121704
2;0.7422857284545898;0.7755879163742065;0.7499259114265442;0.7588016390800476
3;0.7453333139419556;0.7666361331939697;0.758222222328186;0.7336915731430054
4;0.7392380833625793;0.7737089991569519;0.758814811706543;0.7279209494590759
5;0.7453333139419556;0.7455188632011414;0.7531852126121521;0.7398551106452942
6;0.7447618842124939;0.7301385998725891;0.751703679561615;0.7095968723297119
7;0.7483809590339661;0.7058056592941284;0.7585185170173645;0.6818388104438782
8;0.7459047436714172;0.6980016827583313;0.7531852126121521;0.67929607629776
9;0.7487618923187256;0.6838992834091187;0.7579259276390076;0.6608784794807434
10;0.7495238184928894;0.6800939440727234;0.7576296329498291;0.6654999852180481
11;0.7586666941642761;0.6568570733070374;0.7570370435714722;0.6655743718147278
12;0.758476197719574;0.6388680934906006;0.758222222328186;0.6446983218193054
13;0.7552381157875061;0.6352729201316833;0.7499259114265442;0.655069887638092
14;0.7613333463668823;0.6228041052818298;0.754370391368866;0.6516599655151367
15;0.760190486907959;0.6187669038772583;0.7514073848724365;0.650762140750885
16;0.7596190571784973;0.6106501221656799;0.7274073958396912;0.6966522932052612
17;0.7639999985694885;0.6093695163726807;0.7398518323898315;0.6710720658302307
18;0.7613333463668823;0.5999930500984192;0.724740743637085;0.709450900554657
19;0.7681905031204224;0.58686763048172;0.7508147954940796;0.6511175632476807
20;0.7624762058258057;0.5996237397193909;0.742814838886261;0.664964497089386
21;0.7672380805015564;0.5845552682876587;0.7558518648147583;0.6491566896438599
22;0.7723809480667114;0.5676161646842957;0.751703679561615;0.6501206159591675
23;0.7695237994194031;0.5616229176521301;0.7395555377006531;0.6463997960090637
24;0.7777143120765686;0.5442967414855957;0.7330370545387268;0.6602985262870789
25;0.7843809723854065;0.5390995144844055;0.7377777695655823;0.6668023467063904
26;0.7782857418060303;0.547130823135376;0.74014812707901;0.6500663161277771
27;0.7841904759407043;0.5293623805046082;0.7229629755020142;0.6851288080215454
28;0.7819047570228577;0.5368716716766357;0.7475555539131165;0.6559845805168152
29;0.7777143120765686;0.5476081967353821;0.7161481380462646;0.71292644739151
30;0.7750476002693176;0.5496870875358582;0.7431111335754395;0.6739360690116882
31;0.7822856903076172;0.5415014624595642;0.7440000176429749;0.6805116534233093
32;0.7885714173316956;0.5207630395889282;0.7502222061157227;0.6572304964065552
33;0.7826666831970215;0.5348244309425354;0.731259286403656;0.6913941502571106
34;0.7891428470611572;0.5171071290969849;0.7380740642547607;0.6771590113639832
35;0.7860952615737915;0.516082227230072;0.7274073958396912;0.6804454326629639
36;0.7942857146263123;0.49779176712036133;0.7546666860580444;0.6642777323722839
