epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.428492933511734;1.219138741493225;0.5269230604171753;1.0005478858947754
1;0.5340659618377686;0.9921778440475464;0.5634615421295166;0.9326623678207397
2;0.5711930990219116;0.913005530834198;0.5961538553237915;0.8492123484611511
3;0.6106358170509338;0.8419296145439148;0.6192307472229004;0.8007746338844299
4;0.6534144282341003;0.7572034001350403;0.6461538672447205;0.7223161458969116
5;0.6768838167190552;0.7063786387443542;0.6903846263885498;0.6882113218307495
6;0.6932103633880615;0.6702449917793274;0.6942307949066162;0.624723494052887
7;0.7175431847572327;0.6244227886199951;0.7134615182876587;0.5958073139190674
8;0.7390109896659851;0.5832812190055847;0.7269230484962463;0.5861344337463379
9;0.7410910725593567;0.5748464465141296;0.7230769395828247;0.5693010091781616
10;0.7512558698654175;0.5548213124275208;0.7173076868057251;0.5532182455062866
11;0.7525117993354797;0.5456615686416626;0.7038461565971375;0.6200659871101379
12;0.7598116397857666;0.534038782119751;0.7019230723381042;0.6426771879196167
13;0.7724489569664001;0.5166634917259216;0.7423076629638672;0.54527747631073
14;0.7757849097251892;0.5036888122558594;0.7288461327552795;0.5501259565353394
15;0.775745689868927;0.5041983127593994;0.7423076629638672;0.5610995888710022
16;0.7868524193763733;0.4839334785938263;0.75;0.5211648344993591
17;0.7906985878944397;0.4740445911884308;0.7519230842590332;0.537640392780304
18;0.7925039529800415;0.4708728790283203;0.7365384697914124;0.5262837409973145
19;0.7974882125854492;0.46002328395843506;0.75;0.52334064245224
20;0.7987048625946045;0.45927271246910095;0.7538461685180664;0.525177538394928
21;0.8066326379776001;0.4427454471588135;0.7557692527770996;0.5154947638511658
22;0.8100078701972961;0.43853259086608887;0.7653846144676208;0.5273526906967163
23;0.8125588893890381;0.43249064683914185;0.7384615540504456;0.5208390355110168
24;0.8168367147445679;0.4228249192237854;0.732692301273346;0.5382208228111267
25;0.8237048387527466;0.4155862629413605;0.7480769157409668;0.5435445308685303
26;0.8208398818969727;0.4148063063621521;0.7749999761581421;0.510812520980835
27;0.8255887031555176;0.4063185155391693;0.7480769157409668;0.5753253102302551
28;0.831279456615448;0.3970010578632355;0.7442307472229004;0.5643464922904968
29;0.8325745463371277;0.39160120487213135;0.7557692527770996;0.5735225081443787
30;0.8333987593650818;0.3942252993583679;0.7461538314819336;0.55511075258255
31;0.8378728628158569;0.3819379210472107;0.7480769157409668;0.540289044380188
32;0.838657796382904;0.3802388608455658;0.75;0.5430179238319397
33;0.8423861861228943;0.37087494134902954;0.732692301273346;0.5425893664360046
34;0.8458791375160217;0.3665219247341156;0.7557692527770996;0.5523971319198608
35;0.8502354621887207;0.35704904794692993;0.75;0.5468130111694336
36;0.8536106944084167;0.34843316674232483;0.7403846383094788;0.5485718250274658
37;0.8525510430335999;0.35639363527297974;0.7346153855323792;0.5724253058433533
38;0.8565149307250977;0.3411295413970947;0.7596153616905212;0.5464045405387878
39;0.8552590012550354;0.3452516496181488;0.7307692170143127;0.576356828212738
40;0.8602825999259949;0.3360891342163086;0.7653846144676208;0.5524983406066895
41;0.867621660232544;0.32549604773521423;0.7442307472229004;0.543658971786499
42;0.861067533493042;0.3371921479701996;0.7288461327552795;0.6366322040557861
43;0.8646782040596008;0.32900625467300415;0.7730769515037537;0.5442362427711487
44;0.8733516335487366;0.31147500872612;0.7480769157409668;0.5617184042930603
45;0.8775510191917419;0.304745078086853;0.7384615540504456;0.6074762344360352
46;0.8776687383651733;0.3040020167827606;0.7538461685180664;0.6120427846908569
47;0.8760989308357239;0.30422818660736084;0.7519230842590332;0.5726642608642578
48;0.8771193027496338;0.2977893054485321;0.7519230842590332;0.5743387341499329
49;0.8832809925079346;0.2909916043281555;0.7519230842590332;0.5664451122283936
50;0.8862245082855225;0.28688597679138184;0.7538461685180664;0.5951895713806152
51;0.8874803781509399;0.27971500158309937;0.7442307472229004;0.597530722618103
52;0.8898743987083435;0.27889660000801086;0.7653846144676208;0.6015474796295166
53;0.8871663808822632;0.275424063205719;0.7538461685180664;0.6203938722610474
54;0.8910910487174988;0.27213647961616516;0.7423076629638672;0.605495274066925
55;0.8912872672080994;0.2737022936344147;0.7538461685180664;0.639216959476471
56;0.8978414535522461;0.2608506381511688;0.7557692527770996;0.6441760659217834
